dataset,model,imbalance,auprc,recall,recall_at_p50,f1
uci,logreg,plain,0.4961449113156316,0.4819277108433735,0.5170682730923695,0.5044666316342618
uci,mlp,focal_g2,0.5547914384486213,0.5451807228915663,0.5903614457831325,0.5408366533864543
uci,xgboost,smote,0.5605885101445218,0.641566265060241,0.6014056224899599,0.5473233404710921
ieee,logreg,plain,0.4760655584196774,0.3710874475637302,0.4378831881252016,0.4651162790697674
ieee,mlp,plain,0.718628860183628,0.5840593739916102,0.723459180380768,0.6865162146785511
ieee,xgboost,plain,0.8256024451461592,0.6989351403678606,0.8383349467570184,0.7805405405405406
paysim,logreg,plain,0.6021350413920717,0.4883720930232558,0.5988372093023255,0.5957446808510638
paysim,mlp,smote,0.8863887714677487,0.8430232558139535,0.8837209302325582,0.8814589665653495
paysim,xgboost,smote,0.9813529871186776,0.9709302325581396,0.9825581395348836,0.9852507374631267
